"","loc","area_m2"
"1","강남구",3626398.5
"2","강동구",1526389.3
"3","강북구",3714902.4
"4","강서구",2194154.1
"5","관악구",10431453.1
"6","광진구",584002
"7","구로구",1721011
"8","금천구",57568
"9","노원구",12235699.3
"10","도봉구",1084218
"11","동대문구",458663.7
"12","동작구",3706739.1
"13","마포구",2685112.7
"14","서대문구",3321476.6
"15","서초구",13359636
"16","성동구",626838.7
"17","성북구",1198327
"18","송파구",2838992.8
"19","양천구",1203428.5
"20","영등포구",424446
"21","용산구",247194.1
"22","은평구",3100533
"23","종로구",3907680.6
"24","중구",3724842.2
"25","중랑구",7078975
